SampleDate,DateReqested,GridReference,Longitude,Lattitude,ProductionArea,SiteName,benz[a]anthraceneg_microgram_per_kg,chrysene_microgram_per_kg,benzo[b]fluoranthene_microgram_per_kg,benzo[a]pyrene_microg_per_kg,PAH_4_SumLower_microgram_per_kg   ,Cadmium_Cd_mg_per_kg,Mercury_Hg_mg_per_kg,Lead_Pb_mg_per_kg,SumOfDioxins_pg_per_g,SumOfDioxins_and_dioxin_like_PCBs_pg_per_g,SumOf_ICES_6_ng_per_g ,TestType,Comments
,2015-12,TM06201600,0.98944158,51.804602,Colne,Pyefleet Spit,0.93,0.96,2.36,0.55,4.8,0.251,0.02,0.107,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
,2015-12,SD44306530,-2.8528618,54.080591,Morecambe Bay-East,Bare Ayre,3,2.65,7.24,2.81,15.7,0.127,0.05,0.75,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
,2015-12,SD34504760,-2.9988142,53.920379,Lune,Sea Center South,3.39,3.37,7.73,3.25,17.74,0.108,0.032,0.589,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-01-26,2014-12,NY10055345,-3.4030852,54.867707,Silloth,Mawbray - Lees Scar,4.24,4.13,5.41,3.19,16.97,0.12,0.028,0.539,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-01-13,2014-12,SD24826340,-3.1500818,54.061039,Morecombe Bay - Roosebeck ,Foulney Twist ,2.59,2.36,5.09,2.68,12.72,0.187,0.081,0.817,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-01-13,2014-12,SD185706,-3.2485553,54.124772,Morecombe Bay - Barrow,Cocken Tunnel,2.04,1.91,3.5,1.7,9.15,0.183,0.078,1.05,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-01-19,2014-12,TR13496766,1.0656436,51.367856,N Kent,Whitstable Bay,2.54,2.79,7.1,2.49,14.92,0.348,0.031,0.163,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-01-06,2014-12,SN46700074,-4.12423,51.41089,Burry Inlet,Pwll - Burry North - Central ,0.83,1.03,1.58,0.66,4.1,0.143,0.009,0.295,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-02-04,2014-12,SU77100360,-0.90669056,50.826814,Chichester Harbour,Thorney,1.73,1.64,2.94,1.2,7.51,0.13,0.03,0.056,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-01-13,2014-12,TM05141346,0.97258814,51.782185,Mersea Flats,Coopers Beach,2.03,2.67,4.03,0.87,9.6,0.446,0.034,0.192,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-01-27,2014-12,SH76107970,-3.8606114,53.299718,Conwy Morfa,Morfa,1,1.17,1.71,0.67,4.55,0.096,0.024,0.454,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-02-04,2014-12,SW93427533,-4.916865,50.541162,Camel,Porthilly Cove,0.47,0.63,0.77,0.27,2.14,0.089,0.015,0.382,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-02-02,2014-12,SW75332672,-5.1428317,50.097992,South of Porth Navas Bar,South of Porth Navas Bar,3.24,3.22,5.79,2.03,14.28,0.093,0.037,0.824,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-02-04,2014-12,SX12595313,-4.6355279,50.348188,River Fowey,Wisemans,1.53,1.51,2.28,0.86,6.18,0.089,0.029,0.63,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-02-04,2014-12,SW84073879,-5.0276513,50.209635,Fal River,Turnaware Pontoon,2.48,2.54,4.53,1.69,11.24,0.063,0.024,0.55,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-02-11,2014-12,SJ21038497,-3.1879445,53.35569,River Dee,Mostyn/Talacre,1.93,2.15,2.93,2.54,9.55,0.041,0.029,0.537,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-02-03,2014-12,SH49906587,-4.2469278,53.168721,Menai Strait West,Llanfairisgaer,1.09,1.41,1.78,0.71,4.99,0.113,0.05,0.665,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-02-03,2014-12,SH57587302,-4.1353173,53.235058,Menai Strait East,Bangor - Kim 6,1.35,1.56,2.3,1.22,6.43,0.108,0.063,1.06,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-01-20,2014-12,TF67504200,0.46489497,52.949794,The Wash - Kings Lynn,"Hunstanton - Heacham, Holmside & Hunstanton",1.34,1.58,1.87,1.1,5.89,0.107,0.018,0.45,0.06,0.1,0.58,"Dioxins, metals and polyaromatic hydrocarbons",All results below maximum permitted levels
2015-01-06,2014-12,TR12929919,1.0764917,51.651163,Thames estuary,Foulness Sands,2.58,2.91,3.6,3.1,12.19,0.058,0.026,0.646,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-01-20,2014-12,TQ96449174,0.83441668,51.590256,Roach,Middleway,2.51,2.85,4.91,1.7,11.97,0.135,0.017,0.235,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-03-13,2014-12,TQ88148489,0.71108248,51.531565,Thames estuary,West of Southend Pier,2.55,2.97,6.77,2.73,15.02,0.279,0.025,0.149,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-01-20,2014-12,TR00109540,0.88926783,51.621835,River Crouch,Outer Crouch,2.07,2.02,5.78,2.02,11.89,0.343,0.023,0.061,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-02-10,2014-12,TL 93510601,0.80006489,51.719421,Blackwater West - Ramsay Marsh,Ramsey Marsh,2.24,2.63,3.1,1.19,9.16,0.132,0.029,0.076,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-02-11,2014-12,TM08800590,1.0210345,51.712954,Blackwater (East),St Peters Flats - Batchelor Spit,1.22,1.26,4.18,1.12,7.78,0.386,0.03,0.047,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-02-11,2014-12,SJ29539425,-3.0623378,53.440292,Liverpool Bay,Leasowe & New Brighton - Harrison Drive East,2.22,2.37,4.14,3.4,12.13,0.042,0.024,0.406,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-02-11,2014-12,SJ21438940,-3.1830392,53.395561,Hoylake Cockles,Hoylake-Cockles ,2.08,2.35,3.64,2.84,10.91,0.044,0.04,0.435,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-01-26,2014-12,SD32571816,-3.0217451,53.655568,Ribble - Mersey Mussel North ,Mersey Mussel North,10.59,9.39,21.1,11.59,52.67,0.321,0.069,1.16,0.33,0.5,5.58,Metals and Polyaromatic hydrocarbons,PAH levels exceeded regulatory limits
2015-01-20,2014-12,TF91814545,0.85507684,52.972079,Blakeney,Simpool - Wells - The Pool,1.46,1.87,2.11,1.08,6.52,0.092,0.019,0.429,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-02-03,2014-12,NU12333958,-1.8056391,55.649604,Holy Island ,Rosslinks R9,1.91,2.72,5.47,0.79,10.89,0.285,0.055,0.159,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-01-07,2014-12,SX54404952,-4.0469203,50.327576,Yealm,Fox Cove,2.96,2.6,7.78,1.99,15.33,0.066,0.029,0.175,0.3,0.28,4.15,"Dioxins, metals and polyaromatic hydrocarbons",All results below maximum permitted levels
2015-02-03,2014-12,SY97349058,-2.0390408,50.714844,Poole Harbour North,Rockley,1.48,1.5,2.55,0.86,6.39,0.106,0.034,0.285,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-01-19,2014-12,SU63140349,-1.104887,50.827513,Portsmouth Harbour,East or West harbour - Porchester,3.55,3.34,4.91,2.23,14.03,0.202,0.03,0.138,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-01-20,2014-12,SU68330197,-1.0314913,50.813258,Langstone Harbour,Salterns - Langstone,2.54,2.77,3.36,1.59,10.26,0.228,0.042,0.168,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-01-21,2014-12,SX87415599,-3.5853078,50.392979,Dart,Waddeton,2.7,2.14,6.24,1.39,12.47,0.096,0.009,0.122,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-01-29,2014-12,SX82634290,-3.648447,50.27437,Start Bay,Torcross - Slapton Sands 2,4.15,3.96,4.1,3.57,15.78,0.067,0.038,0.458,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-01-05,2014-12,SZ57479794,-1.1862493,50.778199,Solent,Chilling to Gilkicker Point - Browndown,2.35,2.81,3.44,1.51,10.11,0.37,0.026,0.07,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-01-06,2014-12,SU48130325,-1.3180164,50.826795,Southampton Water,Off Fawley outfall - Ashlett Creek,5.98,7.05,4.71,2.37,20.11,0.361,0.025,0.105,0.33,2.2,4.24,"Dioxins, metals and polyaromatic hydrocarbons",All results below maximum permitted levels
2015-01-12,2014-12,TM28834500,1.3363797,52.056101,Deben,Stonner Point,1.05,1.11,1.63,0.62,4.41,0.169,0.019,0.341,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-01-13,2014-12,TM39704870,1.4972174,52.084713,Butley,Butley Creek,1.54,1.78,3.75,0.73,7.8,0.327,0.019,0.188,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-02-09,2014-12,TR06136863,0.96062514,51.379283,"Thames, North Kent, Swale ",Swale Outer,2.51,2.58,5.2,2.37,12.66,0.153,0.035,0.261,0.28,0.2,3.15,"Dioxins, metals and polyaromatic hydrocarbons",All results below maximum permitted levels
2015-01-05,2014-12,SS67659210,-3.9128255,51.612127,Swansea Bay,Queens Dock,4.71,4.82,11.86,4.81,26.2,0.403,0.008,1.43,0.32,0.31,4.64,"Dioxins, metals and polyaromatic hydrocarbons",All results below maximum permitted levels
2015-01-12,2014-12,SX92107237,-3.5240803,50.541114,Teign - River Teign,Gas Works Bank,4.33,3.62,5.8,4.95,18.7,0.137,0.027,1.2,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-01-12,2014-12,SX99698050,-3.4191994,50.615556,Exe ,Beacon,2.51,2.4,4.65,1.42,10.98,0.137,0.027,0.499,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-01-06,2014-12,SX91125735,-3.533529,50.405905, Brixham - Fishcombe Cove ,Fishcombe Cove,0.7,0.84,1.7,0.48,3.72,0.052,0.024,0.5,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-02-02,2014-12,SS46573142,-4.190882,51.06156,Taw Torridge,Lifeboat Slip way - Spratt Ridge East,0.65,0.83,0.97,0.36,2.81,0.132,0.018,0.261,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2015-02-04,2014-12,SY66477627,-2.4749786,50.585194,Portland,NE Breakwater - Fleet Oyster Farm,0.68,0.89,1.81,0.37,3.75,0.064,0.012,0.059,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2016-11-16,2016-12,SU4028001350,-1.4296726,50.810308,Beaulieu River,Landing Stage,0.5,0.37,0.26,0.13,1.26,0.065,0.012,0.094,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2018-01-03,2017-12,SS87114786,-3.6178094,51.218742,Porlock,Porlock East,0.32,0.46,0.91,0.34,2.03,0.22,0.013,0.034,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2018-01-22,2017-12,SX05744972,-4.729938,50.315335,St Austell Bay,Ropehaven Outer,0.74,1.04,1.68,0.44,3.9,0.053,0.012,0.408,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2018-02-06,2017-12,SW82803517,-5.0433548,50.176659,Lower Fal,Mylor Pool,2.03,1.77,5.79,1.79,11.38,0.126,0.011,0.149,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2018-01-23,2017-12,SD32802594,-3.0199546,53.725514,Ribble,Ribble Walls North,3.98,4.04,8.04,3.44,19.5,0.143,0.024,0.387,0.5,0.81,3.64,"Dioxins, metals and polyaromatic hydrocarbons",All results below maximum permitted levels
2019-01-02,2018-12,TF7987345401,0.67749717,52.975773,Brancaster,Norton Creek Mussel (MSP),1.79,2.22,1.22,1.06,6.29,0.057,0.009,0.181,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2019-01-07,2018-12,SH53148022,-4.2051148,53.298519,Red Wharf Bay - Traeth Coch,Nodwydd,0.35,0.58,0.65,0.39,1.97,0.023,0.012,0.2,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2019-01-08,2018-12,SW75462765,-5.1415636,50.106392,Helford,Porth Navas Quay,0.8,0.73,1.95,0.52,4,0.052,0.011,0.103,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2019-01-22,2018-12,SW85853369,-4.9998673,50.164478,Fal,Percuil,1.57,1.21,4.69,1.34,8.81,0.101,0.024,0.168,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2019-12-17,2019-12,SW80212383,-5.0730398,50.073863,Porthallow ,Porthallow North,<0.50,0.57,0.98,<0.50,2.27,0.052,0.007,0.275,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2020-02-23,2019-12,SX67114467,-3.8667519,50.286987,Bigbury and Avon ,South Hexdown North,2.25,2.56,5.2,1.19,11.2,0.125,0.018,0.108,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2020-01-20,2019-12,SY13687543,-3.220329,50.572214,Lyme Bay ,Site 1 Pilot West,0.49,0.57,1.31,0.35,2.72,0.051,0.01,0.279,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2020-01-21,2019-12,SH27918140,-4.5839434,53.301519,Anglesey ? Inland Sea ,Gorsedd y Penrhyn,0.68,0.92,1.06,0.39,3.05,0.079,0.017,0.308,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
2020-03-10,2019-12,SW36570690,-5.6701171,49.904181,Three Rivers ,Pastoun Scar,1.9,1.99,2.58,1.98,8.45,0.031,0.012,0.348,N/A,N/A,N/A,Metals and Polyaromatic hydrocarbons,All results below maximum permitted levels
